,anime,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5
227,KIZNAIVER,219,913,4.17,9,16,22,54,118
228,Kite Liberator,217,945,4.35,15,2,15,44,141
229,The Master of Ragnarok & Blesser of Einherjar,217,500,2.3,99,36,30,21,31
230,Love Live!,216,1002,4.64,3,3,13,31,166
231,Tono to Issho,213,906,4.25,17,5,15,46,130
232,Domestic Girlfriend,211,929,4.4,11,6,20,24,150
233,Record of Grancrest War,211,757,3.59,21,36,34,38,82
234,JUNI TAISEN: ZODIAC WAR,208,684,3.29,29,44,35,38,62
235,Love Stage!!,207,978,4.72,4,3,3,26,171
236,KAGUYA-SAMA: LOVE IS WAR,204,986,4.83,2,2,3,14,183
237,Leiji Matsumoto's OZMA,203,826,4.07,9,11,28,64,91
238,Medaka Box,200,911,4.56,2,7,12,36,143
239,TRINITY SEVEN,199,845,4.25,9,10,22,40,118
240,Fire Force,199,831,4.18,19,13,17,15,135
241,Eromanga Sensei,197,746,3.79,33,12,16,39,97
242,Himouto! Umaru-chan,196,890,4.54,5,6,12,28,145
243,Ace of the Diamond,195,902,4.63,3,7,8,24,153
244,School-Live!,195,882,4.52,4,6,13,33,139
245,BTOOOM!,191,839,4.39,6,4,16,48,117
246,High School Prodigies Have It Easy Even In Another World,189,597,3.16,53,19,24,31,62
247,Digimon Adventure tri.,188,812,4.32,10,13,13,23,129
248,Kimi ni Todoke - From Me To You,187,863,4.61,3,6,10,22,146
249,Tsukigakirei,186,896,4.82,1,1,2,23,159
250,Masamune-kun's Revenge,186,671,3.61,19,26,35,35,71
251,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,186,529,2.84,70,20,21,19,56
252,Kotoura-san,182,834,4.58,1,5,13,31,132
253,Sword Art Online Alternative: Gun Gale Online,182,678,3.73,26,13,25,39,79
254,ZOMBIE LAND SAGA,181,815,4.5,6,8,6,30,131
255,I Can't Understand What My Husband Is Saying,180,837,4.65,2,1,8,36,133
256,My Mental Choices are Completely Interfering with my School Romantic Comedy,179,782,4.37,3,6,19,45,106
257,Total Eclipse,179,658,3.68,22,24,23,31,79
258,ASSASSINS PRIDE,179,568,3.17,43,22,30,29,55
259,Os Cavaleiros do Zodíaco - Ômega,177,716,4.05,16,10,23,29,99
260,Hundred,177,540,3.05,48,26,25,25,53
261,My First Girlfriend is a Gal,175,598,3.42,33,16,22,53,51
262,Laid-Back Camp,174,843,4.84,2,1,4,8,159
263,NEW GAME!,174,783,4.5,2,7,9,40,116
264,Restaurant to Another World,174,781,4.49,7,6,10,23,128
265,Cells at Work!,172,819,4.76,2,2,4,19,145
266,Knight’s & Magic,172,682,3.97,7,15,32,41,77
267,Cowboy Bebop,171,843,4.93,0,0,4,4,163
268,The World is Still Beautiful,171,795,4.65,3,4,9,18,137
269,Wolf Girl and Black Prince,170,671,3.95,12,22,12,41,83
270,Run with the Wind,168,831,4.95,0,0,1,7,160
271,Angels of Death,167,650,3.89,17,16,21,27,86
272,Mushishi,166,810,4.88,1,1,0,13,151
273,Uta no Prince Sama,166,734,4.42,2,11,16,23,114
274,"Problem Children are Coming from Another World, aren't they?",165,759,4.6,1,3,15,23,123
275,Alderamin on the Sky,165,749,4.54,3,4,10,32,116
276,Arpeggio of Blue Steel,165,733,4.44,1,7,17,33,107
277,Blue Spring Ride,164,766,4.67,2,2,11,18,131
278,91 Days,163,770,4.72,0,1,12,18,132
279,RADIANT,162,610,3.77,19,15,24,31,73
280,Magical Warfare,162,441,2.72,46,35,28,24,29
281,Fruits Basket,161,790,4.91,0,0,3,9,149
282,Phantom Thief Reinya,161,715,4.44,8,3,9,31,110
283,The Fruit of Grisaia,161,710,4.41,3,7,15,32,104
284,GOD EATER,161,644,4.0,14,13,15,36,83
285,Welcome to Demon School! Iruma-kun,158,757,4.79,2,1,6,10,139
286,Kamigami no Asobi,158,689,4.36,5,8,17,23,105
287,The Quintessential Quintuplets,157,716,4.56,1,6,8,31,111
288,GIRLS und PANZER,157,707,4.5,5,4,5,36,107
289,Maoyu,157,683,4.35,2,7,14,45,89
290,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us,156,724,4.64,2,4,7,22,121
291,GLASSLIP,155,439,2.83,29,48,28,20,30
292,Rozen Maiden Zurückspulen,155,257,1.66,121,6,5,6,17
293,Witch Craft Works,153,662,4.33,3,7,18,34,91
294,Flowers of Evil,151,640,4.24,14,4,8,31,94
295,given,149,723,4.85,2,1,2,7,137
296,KARAKAI JOZU NO TAKAGI-SAN,149,718,4.82,1,1,0,20,127
297,Interviews with Monster Girls,149,695,4.66,1,1,8,27,112
298,Sunday Without God,148,657,4.44,2,5,17,26,98
299,The Lost Village,148,458,3.09,23,27,33,43,22
300,Taboo Tattoo,148,331,2.24,62,35,22,12,17
301,March comes in like a lion,146,700,4.79,2,4,1,8,131
302,HINAMATSURI,146,700,4.79,1,3,3,11,128
303,Haven’t You Heard? I’m Sakamoto,145,663,4.57,3,4,7,24,107
304,The Ambition of Oda Nobuna,145,661,4.56,3,2,9,28,103
305,BLEND-S,144,652,4.53,1,2,18,22,101
306,Didn't I say to make my abilities average in the next life,144,548,3.81,13,17,17,35,62
307,Tonari no Seki-kun: The Master of Killing Time,143,672,4.7,1,0,7,25,110
308,Magical Girl Raising Project,143,515,3.6,20,14,21,36,52
309,MEKAKUCITY ACTORS,142,578,4.07,5,13,19,35,70
310,ORESUKI Are you the only one who loves me?,141,660,4.68,3,2,6,15,115
311,Sound! Euphonium,141,655,4.65,2,1,5,29,104
312,Ushio and Tora,141,644,4.57,1,3,13,22,102
313,Flying Witch,139,652,4.69,2,3,4,18,112
314,Campione!,139,607,4.37,5,6,16,18,94
315,Brynhildr in the Darkness,139,544,3.91,5,19,19,36,60
316,Blade and Soul,138,417,3.02,24,32,29,23,30
317,Silver Spoon,136,668,4.91,0,0,1,10,125
318,You and Me 2,136,643,4.73,4,2,3,9,118
319,Kino no Tabi -the Beautiful World- the Animated Series,136,617,4.54,3,5,7,22,99
320,Bakemonogatari,135,599,4.44,8,2,9,20,96
321,DRAMAtical Murder,135,538,3.99,8,10,20,35,62
322,Ace Attorney,134,506,3.78,20,12,12,24,66
323,Yowamushi Pedal,133,637,4.79,1,1,1,19,111
324,Biyou Shounen Celebrity,133,634,4.77,3,0,5,9,116
325,"If It's for My Daughter, I'd Even Defeat a Demon Lord",133,536,4.03,18,6,8,23,78
326,Tsuredure Children,132,609,4.61,1,2,4,33,92
327,Fuuka,132,449,3.4,21,22,21,19,49
328,Phi Brain,131,581,4.44,4,5,11,21,90
329,One-Punch Man,127,536,4.22,9,9,9,18,82
330,World Break: Aria of Curse for a Holy Swordsman,125,438,3.5,15,18,25,23,44
331,Non Non Biyori,124,592,4.77,1,1,4,13,105
332,"Kiss Him, Not Me",123,551,4.48,3,4,7,26,83
333,A Sister's All You Need.,122,526,4.31,10,2,5,28,77
334,PUNCH LINE,122,520,4.26,7,5,11,25,74
